time,signal
0.0,-0.235
0.0028,-0.225
0.0056,-0.235
0.0083,-0.23
0.0111,-0.245
0.0139,-0.255
0.0167,-0.245
0.0194,-0.235
0.0222,-0.235
0.025,-0.235
0.0278,-0.235
0.0306,-0.245
0.0333,-0.24
0.0361,-0.235
0.0389,-0.225
0.0417,-0.24
0.0444,-0.24
0.0472,-0.245
0.05,-0.235
0.0528,-0.235
0.0556,-0.235
0.0583,-0.235
0.0611,-0.24
0.0639,-0.245
0.0667,-0.24
0.0694,-0.235
0.0722,-0.225
0.075,-0.24
0.0778,-0.25
0.0806,-0.255
0.0833,-0.25
0.0861,-0.235
0.0889,-0.22
0.0917,-0.225
0.0944,-0.24
0.0972,-0.23
0.1,-0.225
0.1028,-0.225
0.1056,-0.22
0.1083,-0.235
0.1111,-0.235
0.1139,-0.245
0.1167,-0.235
0.1194,-0.225
0.1222,-0.225
0.125,-0.22
0.1278,-0.23
0.1306,-0.235
0.1333,-0.22
0.1361,-0.21
0.1389,-0.19
0.1417,-0.19
0.1444,-0.18
0.1472,-0.185
0.15,-0.16
0.1528,-0.15
0.1556,-0.15
0.1583,-0.145
0.1611,-0.15
0.1639,-0.155
0.1667,-0.135
0.1694,-0.12
0.1722,-0.115
0.175,-0.115
0.1778,-0.115
0.1806,-0.135
0.1833,-0.13
0.1861,-0.13
0.1889,-0.125
0.1917,-0.145
0.1944,-0.14
0.1972,-0.145
0.2,-0.14
0.2028,-0.14
0.2056,-0.14
0.2083,-0.13
0.2111,-0.115
0.2139,-0.11
0.2167,-0.115
0.2194,-0.13
0.2222,-0.145
0.225,-0.155
0.2278,-0.17
0.2306,-0.19
0.2333,-0.19
0.2361,-0.19
0.2389,-0.185
0.2417,-0.205
0.2444,-0.22
0.2472,-0.235
0.25,-0.235
0.2528,-0.225
0.2556,-0.24
0.2583,-0.235
0.2611,-0.235
0.2639,-0.235
0.2667,-0.235
0.2694,-0.23
0.2722,-0.23
0.275,-0.24
0.2778,-0.25
0.2806,-0.245
0.2833,-0.245
0.2861,-0.235
0.2889,-0.245
0.2917,-0.24
0.2944,-0.24
0.2972,-0.255
0.3,-0.255
0.3028,-0.25
0.3056,-0.24
0.3083,-0.25
0.3111,-0.255
0.3139,-0.28
0.3167,-0.295
0.3194,-0.32
0.3222,-0.36
0.325,-0.375
0.3278,-0.405
0.3306,-0.455
0.3333,-0.475
0.3361,-0.415
0.3389,-0.3
0.3417,-0.16
0.3444,0.005
0.3472,0.205
0.35,0.49
0.3528,0.77
0.3556,0.985
0.3583,1.045
0.3611,0.955
0.3639,0.645
0.3667,0.22
0.3694,-0.145
0.3722,-0.345
0.375,-0.385
0.3778,-0.345
0.3806,-0.3
0.3833,-0.28
0.3861,-0.26
0.3889,-0.275
0.3917,-0.27
0.3944,-0.27
0.3972,-0.28
0.4,-0.275
0.4028,-0.275
0.4056,-0.27
0.4083,-0.29
0.4111,-0.29
0.4139,-0.295
0.4167,-0.295
0.4194,-0.295
0.4222,-0.28
0.425,-0.28
0.4278,-0.29
0.4306,-0.29
0.4333,-0.295
0.4361,-0.285
0.4389,-0.295
0.4417,-0.28
0.4444,-0.29
0.4472,-0.29
0.45,-0.28
0.4528,-0.27
0.4556,-0.265
0.4583,-0.275
0.4611,-0.275
0.4639,-0.285
0.4667,-0.285
0.4694,-0.27
0.4722,-0.275
0.475,-0.275
0.4778,-0.285
0.4806,-0.285
0.4833,-0.27
0.4861,-0.28
0.4889,-0.28
0.4917,-0.285
0.4944,-0.28
0.4972,-0.295
0.5,-0.285
0.5028,-0.275
0.5056,-0.275
0.5083,-0.28
0.5111,-0.285
0.5139,-0.29
0.5167,-0.29
0.5194,-0.28
0.5222,-0.275
0.525,-0.275
0.5278,-0.275
0.5306,-0.29
0.5333,-0.275
0.5361,-0.265
0.5389,-0.275
0.5417,-0.265
0.5444,-0.275
0.5472,-0.29
0.55,-0.28
0.5528,-0.265
0.5556,-0.27
0.5583,-0.27
0.5611,-0.28
0.5639,-0.28
0.5667,-0.275
0.5694,-0.27
0.5722,-0.265
0.575,-0.27
0.5778,-0.285
0.5806,-0.285
0.5833,-0.275
0.5861,-0.28
0.5889,-0.275
0.5917,-0.28
0.5944,-0.275
0.5972,-0.29
0.6,-0.285
0.6028,-0.27
0.6056,-0.28
0.6083,-0.28
0.6111,-0.28
0.6139,-0.29
0.6167,-0.29
0.6194,-0.28
0.6222,-0.28
0.625,-0.285
0.6278,-0.29
0.6306,-0.29
0.6333,-0.29
0.6361,-0.29
0.6389,-0.29
0.6417,-0.295
0.6444,-0.295
0.6472,-0.29
0.65,-0.295
0.6528,-0.275
0.6556,-0.26
0.6583,-0.26
0.6611,-0.275
0.6639,-0.265
0.6667,-0.255
0.6694,-0.24
0.6722,-0.235
0.675,-0.225
0.6778,-0.215
0.6806,-0.22
0.6833,-0.21
0.6861,-0.195
0.6889,-0.195
0.6917,-0.19
0.6944,-0.175
0.6972,-0.19
0.7,-0.185
0.7028,-0.17
0.7056,-0.155
0.7083,-0.17
0.7111,-0.175
0.7139,-0.195
0.7167,-0.17
0.7194,-0.16
0.7222,-0.17
0.725,-0.165
0.7278,-0.185
0.7306,-0.195
0.7333,-0.18
0.7361,-0.17
0.7389,-0.165
0.7417,-0.165
0.7444,-0.18
0.7472,-0.19
0.75,-0.19
0.7528,-0.18
0.7556,-0.17
0.7583,-0.175
0.7611,-0.185
0.7639,-0.19
0.7667,-0.19
0.7694,-0.185
0.7722,-0.18
