time,signal
0.0,-0.105
0.0028,-0.105
0.0056,-0.105
0.0083,-0.095
0.0111,-0.07
0.0139,-0.05
0.0167,-0.03
0.0194,-0.04
0.0222,-0.005
0.025,0.03
0.0278,0.07
0.0306,0.105
0.0333,0.105
0.0361,0.085
0.0389,0.09
0.0417,0.08
0.0444,0.075
0.0472,0.055
0.05,0.035
0.0528,-0.005
0.0556,-0.005
0.0583,0.0
0.0611,0.005
0.0639,-0.025
0.0667,-0.06
0.0694,-0.105
0.0722,-0.135
0.075,-0.145
0.0778,-0.145
0.0806,-0.16
0.0833,-0.175
0.0861,-0.19
0.0889,-0.19
0.0917,-0.18
0.0944,-0.16
0.0972,-0.165
0.1,-0.175
0.1028,-0.175
0.1056,-0.175
0.1083,-0.16
0.1111,-0.15
0.1139,-0.14
0.1167,-0.14
0.1194,-0.16
0.1222,-0.15
0.125,-0.13
0.1278,-0.13
0.1306,-0.14
0.1333,-0.155
0.1361,-0.155
0.1389,-0.11
0.1417,0.01
0.1444,0.17
0.1472,0.345
0.15,0.5
0.1528,0.625
0.1556,0.67
0.1583,0.57
0.1611,0.335
0.1639,0.075
0.1667,-0.105
0.1694,-0.185
0.1722,-0.18
0.175,-0.145
0.1778,-0.12
0.1806,-0.105
0.1833,-0.115
0.1861,-0.125
0.1889,-0.14
0.1917,-0.155
0.1944,-0.125
0.1972,-0.12
0.2,-0.13
0.2028,-0.14
0.2056,-0.15
0.2083,-0.13
0.2111,-0.135
0.2139,-0.12
0.2167,-0.13
0.2194,-0.13
0.2222,-0.13
0.225,-0.125
0.2278,-0.105
0.2306,-0.105
0.2333,-0.11
0.2361,-0.125
0.2389,-0.125
0.2417,-0.12
0.2444,-0.11
0.2472,-0.105
0.25,-0.1
0.2528,-0.125
0.2556,-0.125
0.2583,-0.115
0.2611,-0.105
0.2639,-0.09
0.2667,-0.1
0.2694,-0.105
0.2722,-0.12
0.275,-0.115
0.2778,-0.095
0.2806,-0.09
0.2833,-0.09
0.2861,-0.1
