time,signal
0.0,-0.8
0.0028,-0.815
0.0056,-0.825
0.0083,-0.82
0.0111,-0.805
0.0139,-0.8
0.0167,-0.785
0.0194,-0.765
0.0222,-0.755
0.025,-0.755
0.0278,-0.775
0.0306,-0.79
0.0333,-0.82
0.0361,-0.825
0.0389,-0.855
0.0417,-0.865
0.0444,-0.865
0.0472,-0.84
0.05,-0.725
0.0528,-0.58
0.0556,-0.38
0.0583,-0.12
0.0611,0.215
0.0639,0.565
0.0667,0.9
0.0694,1.16
0.0722,1.32
0.075,1.39
0.0778,1.395
0.0806,1.27
0.0833,1.04
0.0861,0.66
0.0889,0.19
0.0917,-0.32
0.0944,-0.705
0.0972,-0.91
0.1,-0.91
0.1028,-0.8
0.1056,-0.66
0.1083,-0.57
0.1111,-0.52
0.1139,-0.55
0.1167,-0.605
0.1194,-0.675
0.1222,-0.725
0.125,-0.745
0.1278,-0.77
0.1306,-0.795
0.1333,-0.795
0.1361,-0.785
0.1389,-0.795
0.1417,-0.805
0.1444,-0.805
0.1472,-0.815
0.15,-0.795
0.1528,-0.79
0.1556,-0.78
0.1583,-0.78
0.1611,-0.805
0.1639,-0.79
0.1667,-0.82
0.1694,-0.825
0.1722,-0.83
0.175,-0.835
0.1778,-0.835
0.1806,-0.82
0.1833,-0.815
0.1861,-0.82
0.1889,-0.815
0.1917,-0.8
0.1944,-0.8
0.1972,-0.8
0.2,-0.82
0.2028,-0.825
0.2056,-0.835
0.2083,-0.845
0.2111,-0.855
0.2139,-0.84
0.2167,-0.835
0.2194,-0.825
0.2222,-0.82
0.225,-0.81
0.2278,-0.815
0.2306,-0.82
0.2333,-0.825
0.2361,-0.85
0.2389,-0.825
0.2417,-0.83
0.2444,-0.83
0.2472,-0.815
0.25,-0.805
0.2528,-0.805
0.2556,-0.79
0.2583,-0.785
0.2611,-0.795
0.2639,-0.795
0.2667,-0.805
0.2694,-0.79
0.2722,-0.81
0.275,-0.795
0.2778,-0.775
0.2806,-0.77
0.2833,-0.755
0.2861,-0.73
0.2889,-0.725
0.2917,-0.72
0.2944,-0.705
0.2972,-0.73
0.3,-0.72
0.3028,-0.73
0.3056,-0.73
0.3083,-0.715
0.3111,-0.685
0.3139,-0.675
0.3167,-0.65
0.3194,-0.645
0.3222,-0.61
0.325,-0.595
0.3278,-0.595
0.3306,-0.585
0.3333,-0.565
0.3361,-0.57
0.3389,-0.57
0.3417,-0.565
0.3444,-0.545
0.3472,-0.525
0.35,-0.505
0.3528,-0.485
0.3556,-0.48
0.3583,-0.445
0.3611,-0.44
0.3639,-0.43
0.3667,-0.44
0.3694,-0.435
0.3722,-0.43
0.375,-0.44
0.3778,-0.405
0.3806,-0.375
0.3833,-0.355
0.3861,-0.335
0.3889,-0.315
0.3917,-0.31
0.3944,-0.31
0.3972,-0.32
0.4,-0.315
0.4028,-0.315
0.4056,-0.32
0.4083,-0.315
0.4111,-0.325
0.4139,-0.325
0.4167,-0.325
0.4194,-0.32
0.4222,-0.33
0.425,-0.335
0.4278,-0.365
0.4306,-0.375
0.4333,-0.42
0.4361,-0.445
0.4389,-0.48
0.4417,-0.51
0.4444,-0.53
0.4472,-0.54
0.45,-0.555
0.4528,-0.56
