time,signal
0.0,-0.105
0.0028,-0.13
0.0056,-0.12
0.0083,-0.115
0.0111,-0.12
0.0139,-0.12
0.0167,-0.14
0.0194,-0.14
0.0222,-0.155
0.025,-0.13
0.0278,-0.13
0.0306,-0.14
0.0333,-0.145
0.0361,-0.16
0.0389,-0.165
0.0417,-0.155
0.0444,-0.135
0.0472,-0.125
0.05,-0.14
0.0528,-0.155
0.0556,-0.15
0.0583,-0.13
0.0611,-0.145
0.0639,-0.145
0.0667,-0.15
0.0694,-0.16
0.0722,-0.155
0.075,-0.145
0.0778,-0.145
0.0806,-0.145
0.0833,-0.155
0.0861,-0.16
0.0889,-0.165
0.0917,-0.15
0.0944,-0.13
0.0972,-0.155
0.1,-0.17
0.1028,-0.17
0.1056,-0.165
0.1083,-0.155
0.1111,-0.14
0.1139,-0.155
0.1167,-0.175
0.1194,-0.18
0.1222,-0.185
0.125,-0.185
0.1278,-0.18
0.1306,-0.17
0.1333,-0.185
0.1361,-0.185
0.1389,-0.185
0.1417,-0.16
0.1444,-0.155
0.1472,-0.155
0.15,-0.165
0.1528,-0.165
0.1556,-0.175
0.1583,-0.15
0.1611,-0.145
0.1639,-0.165
0.1667,-0.16
0.1694,-0.17
0.1722,-0.17
0.175,-0.15
0.1778,-0.155
0.1806,-0.165
0.1833,-0.17
0.1861,-0.18
0.1889,-0.18
0.1917,-0.165
0.1944,-0.155
0.1972,-0.16
0.2,-0.18
0.2028,-0.2
0.2056,-0.175
0.2083,-0.17
0.2111,-0.16
0.2139,-0.165
0.2167,-0.19
0.2194,-0.21
0.2222,-0.17
0.225,-0.155
0.2278,-0.135
0.2306,-0.15
0.2333,-0.14
0.2361,-0.145
0.2389,-0.135
0.2417,-0.115
0.2444,-0.125
0.2472,-0.12
0.25,-0.115
0.2528,-0.13
0.2556,-0.11
0.2583,-0.09
0.2611,-0.095
0.2639,-0.11
0.2667,-0.11
0.2694,-0.13
0.2722,-0.125
0.275,-0.125
0.2778,-0.135
0.2806,-0.135
0.2833,-0.155
0.2861,-0.17
0.2889,-0.185
0.2917,-0.16
0.2944,-0.145
0.2972,-0.145
0.3,-0.17
0.3028,-0.175
0.3056,-0.16
0.3083,-0.14
0.3111,-0.12
0.3139,-0.14
0.3167,-0.14
0.3194,-0.145
0.3222,-0.135
0.325,-0.14
0.3278,-0.145
0.3306,-0.17
0.3333,-0.19
0.3361,-0.215
0.3389,-0.21
0.3417,-0.2
0.3444,-0.185
0.3472,-0.19
0.35,-0.205
0.3528,-0.215
0.3556,-0.205
0.3583,-0.195
0.3611,-0.195
0.3639,-0.2
0.3667,-0.21
0.3694,-0.215
0.3722,-0.205
0.375,-0.185
0.3778,-0.18
0.3806,-0.18
0.3833,-0.19
0.3861,-0.195
0.3889,-0.195
0.3917,-0.185
0.3944,-0.185
0.3972,-0.19
0.4,-0.195
0.4028,-0.21
0.4056,-0.195
0.4083,-0.185
0.4111,-0.195
0.4139,-0.19
0.4167,-0.2
0.4194,-0.215
0.4222,-0.2
0.425,-0.175
0.4278,-0.165
0.4306,-0.15
0.4333,-0.16
0.4361,-0.145
0.4389,-0.11
0.4417,-0.065
0.4444,-0.07
0.4472,-0.125
0.45,-0.205
0.4528,-0.285
0.4556,-0.335
0.4583,-0.375
0.4611,-0.46
0.4639,-0.545
0.4667,-0.635
0.4694,-0.64
0.4722,-0.555
0.475,-0.43
0.4778,-0.285
0.4806,-0.155
0.4833,-0.055
0.4861,0.005
0.4889,-0.035
0.4917,-0.205
0.4944,-0.41
0.4972,-0.555
0.5,-0.615
0.5028,-0.59
0.5056,-0.52
0.5083,-0.39
0.5111,-0.295
0.5139,-0.235
0.5167,-0.225
0.5194,-0.22
0.5222,-0.18
0.525,-0.16
0.5278,-0.145
0.5306,-0.14
0.5333,-0.155
0.5361,-0.16
0.5389,-0.14
0.5417,-0.12
0.5444,-0.125
0.5472,-0.105
0.55,-0.12
0.5528,-0.12
0.5556,-0.105
0.5583,-0.095
0.5611,-0.09
0.5639,-0.09
0.5667,-0.11
0.5694,-0.125
0.5722,-0.12
0.575,-0.095
0.5778,-0.085
0.5806,-0.095
0.5833,-0.115
0.5861,-0.12
0.5889,-0.11
0.5917,-0.085
0.5944,-0.085
0.5972,-0.08
0.6,-0.095
0.6028,-0.11
0.6056,-0.1
0.6083,-0.075
0.6111,-0.07
0.6139,-0.09
0.6167,-0.095
0.6194,-0.1
0.6222,-0.09
0.625,-0.09
0.6278,-0.07
0.6306,-0.075
0.6333,-0.105
0.6361,-0.105
0.6389,-0.085
0.6417,-0.07
0.6444,-0.065
0.6472,-0.065
0.65,-0.09
0.6528,-0.095
0.6556,-0.085
0.6583,-0.08
0.6611,-0.045
0.6639,-0.05
0.6667,-0.07
0.6694,-0.065
0.6722,-0.05
0.675,-0.025
0.6778,-0.02
0.6806,-0.025
0.6833,-0.035
0.6861,-0.03
0.6889,-0.035
0.6917,-0.015
0.6944,-0.005
0.6972,0.0
0.7,0.0
0.7028,-0.01
0.7056,0.005
0.7083,0.02
0.7111,0.04
0.7139,0.03
0.7167,0.03
0.7194,0.02
0.7222,0.035
0.725,0.06
0.7278,0.07
0.7306,0.065
0.7333,0.065
0.7361,0.06
0.7389,0.07
0.7417,0.095
0.7444,0.105
0.7472,0.105
0.75,0.1
0.7528,0.09
0.7556,0.09
0.7583,0.105
0.7611,0.12
0.7639,0.1
0.7667,0.075
0.7694,0.06
0.7722,0.065
0.775,0.065
0.7778,0.075
0.7806,0.05
0.7833,0.025
0.7861,0.01
0.7889,0.015
0.7917,0.015
0.7944,0.0
0.7972,-0.005
0.8,-0.03
0.8028,-0.05
0.8056,-0.055
0.8083,-0.04
0.8111,-0.055
0.8139,-0.075
0.8167,-0.085
0.8194,-0.105
0.8222,-0.1
0.825,-0.095
0.8278,-0.1
0.8306,-0.115
0.8333,-0.115
0.8361,-0.15
0.8389,-0.14
0.8417,-0.115
0.8444,-0.11
0.8472,-0.13
0.85,-0.135
0.8528,-0.155
0.8556,-0.125
0.8583,-0.13
0.8611,-0.105
0.8639,-0.125
0.8667,-0.135
0.8694,-0.145
0.8722,-0.135
0.875,-0.13
0.8778,-0.115
0.8806,-0.115
0.8833,-0.135
0.8861,-0.14
0.8889,-0.125
0.8917,-0.125
0.8944,-0.12
0.8972,-0.135
0.9,-0.15
0.9028,-0.16
0.9056,-0.145
0.9083,-0.14
0.9111,-0.13
0.9139,-0.14
0.9167,-0.15
0.9194,-0.145
0.9222,-0.13
0.925,-0.11
0.9278,-0.11
0.9306,-0.115
0.9333,-0.135
0.9361,-0.15
0.9389,-0.14
0.9417,-0.14
0.9444,-0.12
0.9472,-0.115
0.95,-0.14
0.9528,-0.155
0.9556,-0.14
0.9583,-0.135
0.9611,-0.125
0.9639,-0.13
0.9667,-0.165
0.9694,-0.17
