time,signal
0.0,-0.01
0.0028,-0.01
0.0056,-0.01
0.0083,-0.01
0.0111,-0.01
0.0139,-0.01
0.0167,-0.01
0.0194,-0.01
0.0222,-0.01
0.025,-0.035
0.0278,-0.07
0.0306,-0.1
0.0333,-0.125
0.0361,-0.15
0.0389,-0.16
0.0417,-0.175
0.0444,-0.18
0.0472,-0.195
0.05,-0.225
0.0528,-0.255
0.0556,-0.31
0.0583,-0.34
0.0611,-0.37
0.0639,-0.385
0.0667,-0.4
0.0694,-0.405
0.0722,-0.395
0.075,-0.395
0.0778,-0.39
0.0806,-0.395
0.0833,-0.385
0.0861,-0.39
0.0889,-0.395
0.0917,-0.395
0.0944,-0.415
0.0972,-0.41
0.1,-0.4
0.1028,-0.355
0.1056,-0.32
0.1083,-0.275
0.1111,-0.215
0.1139,-0.16
0.1167,-0.135
0.1194,-0.12
0.1222,-0.115
0.125,-0.105
0.1278,-0.09
0.1306,-0.08
0.1333,-0.075
0.1361,-0.05
0.1389,-0.055
0.1417,-0.085
0.1444,-0.13
0.1472,-0.19
0.15,-0.265
0.1528,-0.325
0.1556,-0.38
0.1583,-0.425
0.1611,-0.45
0.1639,-0.465
0.1667,-0.5
0.1694,-0.5
0.1722,-0.5
0.175,-0.49
0.1778,-0.475
0.1806,-0.47
0.1833,-0.475
0.1861,-0.485
0.1889,-0.485
0.1917,-0.505
0.1944,-0.505
0.1972,-0.51
0.2,-0.495
0.2028,-0.49
0.2056,-0.485
0.2083,-0.48
0.2111,-0.5
0.2139,-0.505
0.2167,-0.5
0.2194,-0.49
0.2222,-0.49
0.225,-0.485
0.2278,-0.505
0.2306,-0.53
0.2333,-0.56
0.2361,-0.56
0.2389,-0.505
0.2417,-0.38
0.2444,-0.175
0.2472,0.105
0.25,0.445
0.2528,0.815
0.2556,1.215
0.2583,1.575
0.2611,1.855
0.2639,1.965
0.2667,1.88
0.2694,1.62
0.2722,1.26
0.275,0.86
0.2778,0.43
0.2806,0.01
0.2833,-0.375
0.2861,-0.72
0.2889,-1.01
0.2917,-1.21
0.2944,-1.325
0.2972,-1.32
0.3,-1.23
0.3028,-1.1
0.3056,-0.96
0.3083,-0.845
0.3111,-0.78
0.3139,-0.75
0.3167,-0.76
0.3194,-0.8
0.3222,-0.85
0.325,-0.885
0.3278,-0.905
0.3306,-0.9
0.3333,-0.905
0.3361,-0.895
0.3389,-0.905
0.3417,-0.92
0.3444,-0.93
0.3472,-0.935
0.35,-0.93
0.3528,-0.92
0.3556,-0.91
0.3583,-0.905
0.3611,-0.92
0.3639,-0.925
0.3667,-0.94
0.3694,-0.94
0.3722,-0.935
0.375,-0.93
0.3778,-0.915
0.3806,-0.9
0.3833,-0.885
0.3861,-0.89
0.3889,-0.905
0.3917,-0.91
0.3944,-0.905
0.3972,-0.885
0.4,-0.85
0.4028,-0.815
0.4056,-0.795
0.4083,-0.775
0.4111,-0.77
0.4139,-0.755
0.4167,-0.73
0.4194,-0.71
0.4222,-0.675
0.425,-0.64
0.4278,-0.615
0.4306,-0.585
0.4333,-0.56
0.4361,-0.54
0.4389,-0.515
0.4417,-0.48
0.4444,-0.44
0.4472,-0.395
0.45,-0.355
0.4528,-0.33
0.4556,-0.3
0.4583,-0.28
0.4611,-0.26
0.4639,-0.24
0.4667,-0.21
0.4694,-0.155
0.4722,-0.105
0.475,-0.06
0.4778,-0.025
0.4806,0.01
0.4833,0.045
0.4861,0.07
0.4889,0.1
0.4917,0.15
0.4944,0.18
0.4972,0.22
0.5,0.255
0.5028,0.275
0.5056,0.3
0.5083,0.31
0.5111,0.325
0.5139,0.36
0.5167,0.39
0.5194,0.4
0.5222,0.38
0.525,0.365
0.5278,0.335
0.5306,0.3
0.5333,0.275
0.5361,0.25
0.5389,0.23
0.5417,0.185
0.5444,0.125
0.5472,0.09
0.55,0.035
0.5528,-0.01
0.5556,-0.065
0.5583,-0.105
0.5611,-0.145
0.5639,-0.175
0.5667,-0.205
0.5694,-0.23
0.5722,-0.255
0.575,-0.265
0.5778,-0.275
0.5806,-0.275
0.5833,-0.265
0.5861,-0.265
0.5889,-0.275
0.5917,-0.315
0.5944,-0.355
0.5972,-0.405
0.6,-0.445
0.6028,-0.455
0.6056,-0.47
0.6083,-0.475
0.6111,-0.49
0.6139,-0.5
0.6167,-0.515
0.6194,-0.525
0.6222,-0.555
0.625,-0.55
0.6278,-0.555
0.6306,-0.555
0.6333,-0.55
0.6361,-0.545
0.6389,-0.54
0.6417,-0.53
0.6444,-0.515
0.6472,-0.505
0.65,-0.49
0.6528,-0.475
0.6556,-0.465
0.6583,-0.48
0.6611,-0.49
0.6639,-0.52
0.6667,-0.54
0.6694,-0.55
0.6722,-0.535
0.675,-0.48
0.6778,-0.375
0.6806,-0.21
0.6833,0.005
0.6861,0.29
0.6889,0.655
0.6917,1.08
0.6944,1.51
0.6972,1.865
0.7,2.11
0.7028,2.175
0.7056,2.065
0.7083,1.815
0.7111,1.51
0.7139,1.155
0.7167,0.775
0.7194,0.41
0.7222,0.045
0.725,-0.36
0.7278,-0.72
0.7306,-1.0
0.7333,-1.14
0.7361,-1.165
0.7389,-1.06
0.7417,-0.92
0.7444,-0.795
0.7472,-0.715
0.75,-0.705
0.7528,-0.745
0.7556,-0.8
