time,signal
0.0,-0.165
0.0028,-0.165
0.0056,-0.155
0.0083,-0.145
0.0111,-0.155
0.0139,-0.17
0.0167,-0.175
0.0194,-0.17
0.0222,-0.165
0.025,-0.155
0.0278,-0.135
0.0306,-0.155
0.0333,-0.145
0.0361,-0.14
0.0389,-0.125
0.0417,-0.1
0.0444,-0.095
0.0472,-0.12
0.05,-0.145
0.0528,-0.16
0.0556,-0.17
0.0583,-0.17
0.0611,-0.205
0.0639,-0.24
0.0667,-0.275
0.0694,-0.295
0.0722,-0.315
0.075,-0.36
0.0778,-0.43
0.0806,-0.495
0.0833,-0.57
0.0861,-0.62
0.0889,-0.705
0.0917,-0.77
0.0944,-0.915
0.0972,-1.045
0.1,-1.095
0.1028,-1.09
0.1056,-1.04
0.1083,-0.985
0.1111,-0.94
0.1139,-0.875
0.1167,-0.815
0.1194,-0.74
0.1222,-0.68
0.125,-0.635
0.1278,-0.605
0.1306,-0.57
0.1333,-0.525
0.1361,-0.495
0.1389,-0.465
0.1417,-0.42
0.1444,-0.365
0.1472,-0.33
0.15,-0.26
0.1528,-0.205
0.1556,-0.15
0.1583,-0.115
0.1611,-0.11
0.1639,-0.095
0.1667,-0.1
0.1694,-0.095
0.1722,-0.08
0.175,-0.06
0.1778,-0.06
0.1806,-0.085
0.1833,-0.085
0.1861,-0.075
0.1889,-0.05
0.1917,-0.04
0.1944,-0.045
0.1972,-0.055
0.2,-0.055
0.2028,-0.045
0.2056,-0.035
0.2083,-0.025
0.2111,-0.035
0.2139,-0.035
0.2167,-0.045
0.2194,-0.03
0.2222,-0.025
0.225,-0.015
0.2278,-0.01
0.2306,-0.03
0.2333,-0.04
0.2361,-0.03
0.2389,-0.015
0.2417,0.0
0.2444,-0.005
0.2472,-0.015
0.25,-0.015
0.2528,0.0
0.2556,0.005
0.2583,0.025
0.2611,0.01
0.2639,0.01
0.2667,0.02
0.2694,0.015
0.2722,0.035
0.275,0.05
0.2778,0.045
0.2806,0.03
0.2833,0.035
0.2861,0.04
0.2889,0.05
0.2917,0.055
0.2944,0.06
0.2972,0.065
0.3,0.045
0.3028,0.045
0.3056,0.075
0.3083,0.075
0.3111,0.08
0.3139,0.08
0.3167,0.075
0.3194,0.09
0.3222,0.09
0.325,0.095
0.3278,0.11
0.3306,0.095
0.3333,0.1
0.3361,0.105
0.3389,0.105
0.3417,0.12
0.3444,0.13
0.3472,0.125
0.35,0.12
0.3528,0.125
0.3556,0.13
0.3583,0.14
0.3611,0.135
0.3639,0.135
0.3667,0.125
0.3694,0.14
0.3722,0.16
0.375,0.17
0.3778,0.175
0.3806,0.16
0.3833,0.17
0.3861,0.175
0.3889,0.19
0.3917,0.2
0.3944,0.2
0.3972,0.19
0.4,0.185
0.4028,0.18
0.4056,0.205
0.4083,0.22
0.4111,0.22
0.4139,0.2
0.4167,0.195
0.4194,0.205
0.4222,0.215
0.425,0.22
0.4278,0.23
0.4306,0.22
0.4333,0.215
0.4361,0.225
0.4389,0.24
0.4417,0.265
0.4444,0.245
0.4472,0.24
0.45,0.23
0.4528,0.23
0.4556,0.23
0.4583,0.25
0.4611,0.24
0.4639,0.23
0.4667,0.23
0.4694,0.22
0.4722,0.23
0.475,0.245
0.4778,0.235
0.4806,0.23
0.4833,0.235
0.4861,0.24
0.4889,0.25
0.4917,0.255
0.4944,0.265
0.4972,0.245
0.5,0.24
0.5028,0.24
0.5056,0.265
0.5083,0.275
0.5111,0.27
0.5139,0.26
0.5167,0.245
0.5194,0.27
0.5222,0.285
0.525,0.29
0.5278,0.29
0.5306,0.275
0.5333,0.275
0.5361,0.29
0.5389,0.305
0.5417,0.325
0.5444,0.32
0.5472,0.325
0.55,0.32
0.5528,0.35
0.5556,0.36
0.5583,0.375
0.5611,0.38
0.5639,0.365
0.5667,0.385
0.5694,0.4
0.5722,0.415
0.575,0.44
0.5778,0.445
0.5806,0.435
0.5833,0.435
0.5861,0.46
0.5889,0.48
0.5917,0.485
0.5944,0.495
0.5972,0.49
0.6,0.5
0.6028,0.52
0.6056,0.535
0.6083,0.545
0.6111,0.545
0.6139,0.535
0.6167,0.545
0.6194,0.55
0.6222,0.565
0.625,0.56
0.6278,0.58
0.6306,0.565
0.6333,0.575
0.6361,0.565
0.6389,0.58
0.6417,0.58
0.6444,0.575
0.6472,0.56
0.65,0.55
0.6528,0.56
0.6556,0.57
0.6583,0.565
0.6611,0.555
0.6639,0.545
0.6667,0.535
0.6694,0.52
0.6722,0.525
0.675,0.525
0.6778,0.515
0.6806,0.485
0.6833,0.47
0.6861,0.475
0.6889,0.465
0.6917,0.46
0.6944,0.445
0.6972,0.43
0.7,0.41
0.7028,0.405
0.7056,0.405
0.7083,0.405
0.7111,0.4
0.7139,0.365
0.7167,0.345
0.7194,0.335
0.7222,0.34
0.725,0.335
0.7278,0.325
0.7306,0.31
0.7333,0.285
0.7361,0.29
0.7389,0.29
0.7417,0.285
0.7444,0.27
0.7472,0.26
0.75,0.25
0.7528,0.25
0.7556,0.25
0.7583,0.26
0.7611,0.27
0.7639,0.265
0.7667,0.26
0.7694,0.255
0.7722,0.27
0.775,0.295
0.7778,0.295
0.7806,0.29
0.7833,0.285
0.7861,0.295
0.7889,0.33
0.7917,0.375
0.7944,0.395
0.7972,0.37
0.8,0.325
0.8028,0.295
0.8056,0.275
0.8083,0.265
0.8111,0.225
0.8139,0.2
0.8167,0.14
0.8194,0.11
0.8222,0.075
0.825,0.05
0.8278,0.01
0.8306,-0.05
0.8333,-0.105
0.8361,-0.125
0.8389,-0.1
0.8417,-0.07
0.8444,-0.055
0.8472,-0.055
0.85,-0.055
0.8528,-0.07
0.8556,-0.085
0.8583,-0.095
0.8611,-0.085
0.8639,-0.1
0.8667,-0.125
0.8694,-0.15
0.8722,-0.205
0.875,-0.23
0.8778,-0.285
0.8806,-0.37
0.8833,-0.45
0.8861,-0.525
0.8889,-0.585
0.8917,-0.625
0.8944,-0.665
0.8972,-0.69
0.9,-0.71
0.9028,-0.695
0.9056,-0.685
0.9083,-0.68
0.9111,-0.69
0.9139,-0.69
0.9167,-0.69
0.9194,-0.68
0.9222,-0.68
0.925,-0.67
0.9278,-0.655
0.9306,-0.665
0.9333,-0.67
0.9361,-0.665
0.9389,-0.66
0.9417,-0.65
0.9444,-0.655
0.9472,-0.66
0.95,-0.675
0.9528,-0.655
0.9556,-0.655
0.9583,-0.635
0.9611,-0.64
0.9639,-0.66
0.9667,-0.67
0.9694,-0.665
0.9722,-0.65
0.975,-0.635
0.9778,-0.64
0.9806,-0.655
0.9833,-0.64
0.9861,-0.635
0.9889,-0.625
0.9917,-0.6
0.9944,-0.605
0.9972,-0.62
1.0,-0.635
1.0028,-0.65
1.0056,-0.635
1.0083,-0.625
1.0111,-0.63
1.0139,-0.63
1.0167,-0.625
1.0194,-0.625
1.0222,-0.61
1.025,-0.605
1.0278,-0.6
1.0306,-0.595
1.0333,-0.605
1.0361,-0.61
1.0389,-0.605
1.0417,-0.59
1.0444,-0.595
1.0472,-0.6
1.05,-0.605
1.0528,-0.6
1.0556,-0.585
1.0583,-0.58
1.0611,-0.585
1.0639,-0.6
1.0667,-0.6
1.0694,-0.585
1.0722,-0.575
1.075,-0.585
1.0778,-0.6
1.0806,-0.61
1.0833,-0.605
1.0861,-0.605
1.0889,-0.6
1.0917,-0.58
1.0944,-0.575
1.0972,-0.595
1.1,-0.59
1.1028,-0.58
1.1056,-0.565
1.1083,-0.56
1.1111,-0.56
1.1139,-0.565
1.1167,-0.56
1.1194,-0.56
1.1222,-0.545
1.125,-0.535
1.1278,-0.55
1.1306,-0.54
1.1333,-0.57
1.1361,-0.56
1.1389,-0.545
1.1417,-0.53
1.1444,-0.52
1.1472,-0.52
1.15,-0.515
1.1528,-0.495
1.1556,-0.475
1.1583,-0.445
1.1611,-0.435
1.1639,-0.42
1.1667,-0.395
1.1694,-0.33
1.1722,-0.265
1.175,-0.2
1.1778,-0.145
1.1806,-0.11
1.1833,-0.055
1.1861,0.03
1.1889,0.115
1.1917,0.195
1.1944,0.265
1.1972,0.32
1.2,0.365
1.2028,0.415
1.2056,0.495
1.2083,0.54
1.2111,0.57
1.2139,0.59
1.2167,0.625
1.2194,0.65
1.2222,0.68
1.225,0.725
1.2278,0.755
1.2306,0.765
1.2333,0.775
1.2361,0.795
1.2389,0.775
1.2417,0.775
1.2444,0.715
1.2472,0.655
1.25,0.61
1.2528,0.545
1.2556,0.48
1.2583,0.39
1.2611,0.285
1.2639,0.185
1.2667,0.12
1.2694,0.07
1.2722,0.03
1.275,0.005
1.2778,-0.03
1.2806,-0.075
1.2833,-0.105
1.2861,-0.125
1.2889,-0.15
1.2917,-0.185
1.2944,-0.24
1.2972,-0.295
1.3,-0.35
1.3028,-0.4
1.3056,-0.44
1.3083,-0.465
1.3111,-0.495
1.3139,-0.545
1.3167,-0.555
1.3194,-0.575
1.3222,-0.58
1.325,-0.595
1.3278,-0.605
1.3306,-0.615
1.3333,-0.625
1.3361,-0.615
1.3389,-0.625
1.3417,-0.615
1.3444,-0.61
1.3472,-0.62
1.35,-0.62
1.3528,-0.62
1.3556,-0.625
1.3583,-0.63
1.3611,-0.635
1.3639,-0.63
1.3667,-0.65
1.3694,-0.64
1.3722,-0.63
1.375,-0.615
1.3778,-0.62
1.3806,-0.63
1.3833,-0.62
1.3861,-0.63
1.3889,-0.615
1.3917,-0.625
1.3944,-0.605
1.3972,-0.625
1.4,-0.63
1.4028,-0.62
1.4056,-0.605
1.4083,-0.605
1.4111,-0.61
1.4139,-0.605
1.4167,-0.61
1.4194,-0.61
1.4222,-0.585
1.425,-0.585
1.4278,-0.585
1.4306,-0.595
1.4333,-0.585
1.4361,-0.57
1.4389,-0.57
1.4417,-0.54
1.4444,-0.54
1.4472,-0.545
1.45,-0.545
1.4528,-0.55
1.4556,-0.535
1.4583,-0.51
1.4611,-0.5
1.4639,-0.505
1.4667,-0.51
1.4694,-0.51
1.4722,-0.505
1.475,-0.49
1.4778,-0.495
1.4806,-0.5
1.4833,-0.495
1.4861,-0.49
1.4889,-0.485
1.4917,-0.46
1.4944,-0.47
1.4972,-0.465
1.5,-0.465
1.5028,-0.44
1.5056,-0.425
1.5083,-0.405
1.5111,-0.41
1.5139,-0.41
1.5167,-0.41
1.5194,-0.395
1.5222,-0.355
1.525,-0.335
1.5278,-0.305
1.5306,-0.285
1.5333,-0.255
1.5361,-0.22
1.5389,-0.19
1.5417,-0.16
1.5444,-0.13
1.5472,-0.105
1.55,-0.065
1.5528,-0.035
1.5556,-0.005
1.5583,0.04
1.5611,0.055
1.5639,0.1
1.5667,0.125
1.5694,0.185
1.5722,0.255
1.575,0.32
1.5778,0.385
1.5806,0.44
1.5833,0.48
1.5861,0.545
1.5889,0.635
1.5917,0.725
1.5944,0.79
1.5972,0.865
1.6,0.93
1.6028,1.005
1.6056,1.06
1.6083,1.1
1.6111,1.12
1.6139,1.145
1.6167,1.185
1.6194,1.21
1.6222,1.205
1.625,1.155
1.6278,1.04
