time,signal
0.0,-0.01449
0.0028,-0.02091
0.0056,-0.03079
0.0083,-0.0103
0.0111,-0.00376
0.0139,0.04276
0.0167,-0.00139
0.0194,-0.01763
0.0222,0.03093
0.025,0.05234
0.0278,0.01586
0.0306,0.01599
0.0333,0.02794
0.0361,0.02416
0.0389,0.02635
0.0417,0.0285
0.0445,0.03007
0.0472,0.05058
0.05,0.00581
0.0528,0.00645
0.0556,0.02891
0.0583,0.01096
0.0611,0.03809
0.0639,0.06583
0.0667,0.06755
0.0695,0.10362
0.0722,0.03442
0.075,0.03976
0.0778,0.0588
0.0806,0.067
0.0834,0.03259
0.0861,0.04426
0.0889,0.07509
0.0917,0.09139
0.0945,0.05554
0.0972,0.08514
0.1,0.06441
0.1028,0.06032
0.1056,0.07383
0.1084,0.07282
0.1111,0.06046
0.1139,0.06363
0.1167,0.06512
0.1195,0.04786
0.1223,0.09951
0.125,0.09198
0.1278,0.08455
0.1306,0.07034
0.1334,0.0501
0.1361,0.08485
0.1389,0.0658
0.1417,0.09141
0.1445,0.10869
0.1473,0.06978
0.15,0.10964
0.1528,0.09316
0.1556,0.11214
0.1584,0.09965
0.1612,0.10339
0.1639,0.08711
0.1667,0.12039
0.1695,0.05062
0.1723,0.11281
0.175,0.11216
0.1778,0.10095
0.1806,0.10681
0.1834,0.07834
0.1862,0.123
0.1889,0.08211
0.1917,0.08999
0.1945,0.10948
0.1973,0.10244
0.2001,0.14351
0.2028,0.09672
0.2056,0.10968
0.2084,0.11298
0.2112,0.08412
0.2139,0.08517
0.2167,0.08624
0.2195,0.09433
0.2223,0.09248
0.2251,0.06707
0.2278,0.1224
0.2306,0.11179
0.2334,0.1053
0.2362,0.07378
0.239,0.08679
0.2417,0.07974
0.2445,0.08825
0.2473,0.09603
0.2501,0.1088
0.2528,0.11846
0.2556,0.10272
0.2584,0.09429
0.2612,0.09739
0.264,0.06627
0.2667,0.10464
0.2695,0.08478
0.2723,0.09262
0.2751,0.10428
0.2779,0.11204
0.2806,0.07677
0.2834,0.08231
0.2862,0.10019
0.289,0.05451
0.2917,0.05538
0.2945,0.12018
0.2973,0.07521
0.3001,0.06556
0.3029,0.07971
0.3056,0.0688
0.3084,0.0651
0.3112,0.05599
0.314,0.05494
0.3168,0.04718
0.3195,0.03147
0.3223,0.08354
0.3251,0.07151
0.3279,0.03919
0.3306,0.07335
0.3334,0.06911
0.3362,0.04705
